city,category,goal_amount,raised_amount,fulfillment_ratio,donation_count,avg_donation_amount,avg_days_since_last_donation,donor_retention_rate,poverty_index,need_gap,is_hotspot
Thane,Disaster Relief,532429.51,111340.85,0.2091,219,508.41,15.9,0.4673,0.33,421088.65,0
Nanded,Medical,493378.47,84472.37,0.1712,138,612.12,11.5,0.3546,0.63,408906.1,1
Mumbai,Medical,34564.31,12460.08,0.3605,47,265.11,9.2,0.3928,0.31,22104.23,0
Dhule,Disaster Relief,796429.0,174907.08,0.2196,422,414.47,23.5,0.2974,0.61,621521.91,1
Mumbai,Disaster Relief,1064876.34,196788.44,0.1848,460,427.8,11.7,0.5064,0.31,868087.9,0
Nashik,Food & Hunger,18661.18,4738.93,0.2539,113,41.94,13.7,0.473,0.42,13922.25,0
Mumbai,Medical,642275.4,249716.19,0.3888,34,7344.59,23.2,0.4839,0.31,392559.21,0
Mumbai,Education,123909.75,45427.6,0.3666,87,522.16,23.5,0.5453,0.31,78482.15,0
Nashik,Food & Hunger,134064.86,24651.07,0.1839,118,208.91,18.1,0.4585,0.42,109413.78,1
Nashik,Medical,100148.39,28698.16,0.2866,36,797.17,22.6,0.484,0.42,71450.24,1
Nashik,Disaster Relief,1574183.49,539690.75,0.3428,330,1635.43,9.7,0.4089,0.42,1034492.73,0
Osmanabad,Medical,199109.48,49102.28,0.2466,74,663.54,28.3,0.3209,0.69,150007.2,1
Amravati,Education,245983.44,89308.04,0.3631,62,1440.45,15.0,0.33,0.58,156675.4,1
Dhule,Disaster Relief,322975.38,35230.34,0.1091,219,160.87,5.6,0.4112,0.61,287745.05,1
Wardha,Food & Hunger,130232.5,1302.32,0.01,19,68.54,39.3,0.2563,0.64,128930.17,1
Solapur,Disaster Relief,865859.59,36705.1,0.0424,191,192.17,33.5,0.4729,0.55,829154.49,1
Nagpur,Disaster Relief,664270.49,103003.21,0.1551,247,417.02,22.1,0.4503,0.38,561267.28,1
Kolhapur,Medical,642088.8,170428.2,0.2654,133,1281.42,16.1,0.5461,0.44,471660.6,1
Pune,Medical,72219.76,19046.54,0.2637,60,317.44,17.9,0.5298,0.28,53173.22,0
Mumbai,Disaster Relief,1190414.23,252543.7,0.2121,471,536.19,13.4,0.411,0.31,937870.53,0
Thane,Medical,305276.5,88218.64,0.289,117,754.01,10.5,0.4658,0.33,217057.86,0
Thane,Food & Hunger,123419.59,12944.35,0.1049,98,132.09,27.4,0.4461,0.33,110475.24,1
Thane,Disaster Relief,371010.0,96237.67,0.2594,204,471.75,10.4,0.5686,0.33,274772.33,0
Mumbai,Medical,88220.57,19097.02,0.2165,20,954.85,14.9,0.4113,0.31,69123.54,0
Pune,Food & Hunger,78471.34,11055.37,0.1409,104,106.3,25.2,0.4324,0.28,67415.97,0
Pune,Medical,711782.75,181914.22,0.2556,85,2140.17,28.6,0.5257,0.28,529868.53,1
Akola,Education,224736.62,59375.19,0.2642,99,599.75,19.3,0.3564,0.56,165361.43,1
Mumbai,Medical,132047.1,41364.17,0.3133,155,266.87,30.7,0.476,0.31,90682.93,0
Kolhapur,Food & Hunger,107320.79,25973.96,0.242,76,341.76,19.8,0.347,0.44,81346.83,1
Mumbai,Disaster Relief,1932996.0,221321.34,0.1145,208,1064.04,17.4,0.4349,0.31,1711674.67,1
Thane,Education,221941.71,68459.67,0.3085,38,1801.57,11.9,0.5197,0.33,153482.04,0
Mumbai,Education,71610.01,20221.55,0.2824,119,169.93,12.4,0.5132,0.31,51388.46,0
Jalgaon,Disaster Relief,329164.65,83284.57,0.253,32,2602.64,30.7,0.4117,0.49,245880.08,1
Amravati,Education,105328.65,31264.25,0.2968,123,254.18,19.4,0.4039,0.58,74064.4,1
Latur,Education,93004.06,20241.66,0.2176,17,1190.69,32.2,0.275,0.67,72762.4,1
Pune,Food & Hunger,162455.25,52873.0,0.3255,104,508.39,22.9,0.4251,0.28,109582.24,0
Amravati,Food & Hunger,64993.77,12901.09,0.1985,118,109.33,27.1,0.33,0.58,52092.68,1
Thane,Disaster Relief,379274.0,88080.07,0.2322,45,1957.33,13.3,0.5583,0.33,291193.93,0
Nagpur,Medical,660927.91,254943.72,0.3857,75,3399.25,27.8,0.361,0.38,405984.19,0
Amravati,Food & Hunger,167616.92,34255.61,0.2044,86,398.32,32.1,0.4209,0.58,133361.3,1
Jalgaon,Food & Hunger,36456.9,2180.08,0.0598,42,51.91,26.9,0.3938,0.49,34276.82,1
Pune,Disaster Relief,535143.99,102434.8,0.1914,472,217.02,21.4,0.4515,0.28,432709.19,1
Mumbai,Education,274781.7,112964.87,0.4111,34,3322.5,0.9,0.4689,0.31,161816.82,1
Mumbai,Medical,132237.99,29786.0,0.2252,176,169.24,12.8,0.4707,0.31,102451.99,0
Thane,Medical,387684.86,161785.31,0.4173,161,1004.88,12.1,0.4896,0.33,225899.55,0
Pune,Disaster Relief,1516622.95,467507.57,0.3083,266,1757.55,20.6,0.4044,0.28,1049115.38,0
Nagpur,Food & Hunger,10312.31,3269.99,0.3171,60,54.5,0.8,0.4828,0.38,7042.33,0
Nanded,Medical,118281.77,50711.96,0.4287,16,3169.5,26.5,0.3564,0.63,67569.81,1
Mumbai,Food & Hunger,56013.18,14910.9,0.2662,86,173.38,12.5,0.5145,0.31,41102.28,0
Mumbai,Education,30341.7,10023.79,0.3304,36,278.44,13.4,0.4533,0.31,20317.91,0
Pune,Medical,557048.31,197150.38,0.3539,140,1408.22,14.7,0.4833,0.28,359897.92,0
Mumbai,Disaster Relief,992302.55,227021.04,0.2288,493,460.49,7.8,0.5172,0.31,765281.51,0
Wardha,Food & Hunger,173955.25,25125.18,0.1444,103,243.93,10.5,0.3596,0.64,148830.08,1
Mumbai,Food & Hunger,167229.5,41212.9,0.2464,5,8242.58,5.8,0.4365,0.31,126016.61,0
Mumbai,Disaster Relief,884902.59,136362.27,0.1541,489,278.86,1.7,0.5066,0.31,748540.32,0
Nanded,Education,32164.68,10664.36,0.3316,51,209.11,15.6,0.2894,0.63,21500.32,0
Amravati,Education,219610.82,46368.82,0.2111,12,3864.07,12.8,0.3634,0.58,173241.99,1
Mumbai,Disaster Relief,1715188.62,210516.92,0.1227,26,8096.8,26.9,0.4794,0.31,1504671.7,1
Akola,Medical,647310.51,149063.84,0.2303,93,1602.84,23.7,0.3591,0.56,498246.66,1
Solapur,Education,103437.92,44105.43,0.4264,80,551.32,26.7,0.4205,0.55,59332.49,1
Mumbai,Medical,336160.65,92552.34,0.2753,37,2501.41,19.6,0.5211,0.31,243608.31,1
Mumbai,Medical,134429.27,55225.13,0.4108,138,400.18,24.8,0.4477,0.31,79204.14,0
Aurangabad,Disaster Relief,1284863.24,347225.67,0.2702,377,921.02,0.4,0.423,0.51,937637.58,1
Nanded,Medical,268119.92,72275.05,0.2696,116,623.06,16.1,0.3281,0.63,195844.87,1
Amravati,Education,83923.89,27261.44,0.3248,102,267.27,21.8,0.4041,0.58,56662.45,0
Nashik,Education,249839.33,90088.38,0.3606,38,2370.75,28.9,0.4247,0.42,159750.95,0
Mumbai,Disaster Relief,855559.43,167154.62,0.1954,54,3095.46,3.8,0.5316,0.31,688404.81,0
Pune,Medical,324775.61,115970.38,0.3571,19,6103.7,9.8,0.4485,0.28,208805.24,0
Akola,Education,128222.37,45346.5,0.3537,57,795.55,17.1,0.3847,0.56,82875.87,1
Solapur,Medical,448674.88,68870.61,0.1535,159,433.15,33.9,0.5007,0.55,379804.27,1
Mumbai,Medical,489514.07,167746.87,0.3427,25,6709.87,13.0,0.476,0.31,321767.2,0
Thane,Food & Hunger,19425.12,4544.78,0.234,34,133.67,2.6,0.4582,0.33,14880.34,0
Akola,Medical,560847.44,159449.35,0.2843,150,1063.0,10.6,0.2855,0.56,401398.1,1
Pune,Disaster Relief,895703.95,247792.08,0.2766,427,580.31,22.9,0.4602,0.28,647911.87,1
Thane,Education,170209.7,61009.55,0.3584,18,3389.42,14.6,0.5352,0.33,109200.16,0
Thane,Food & Hunger,45419.76,4678.84,0.103,91,51.42,3.6,0.4789,0.33,40740.93,0
Kolhapur,Medical,319873.46,89616.02,0.2802,74,1211.03,10.5,0.4854,0.44,230257.44,0
Osmanabad,Medical,573141.16,120559.72,0.2103,49,2460.4,17.4,0.3167,0.69,452581.43,1
Mumbai,Education,21294.47,6076.7,0.2854,64,94.95,4.9,0.4969,0.31,15217.77,0
Akola,Disaster Relief,1475938.65,111170.79,0.0753,389,285.79,22.3,0.3954,0.56,1364767.85,1
Aurangabad,Education,156717.36,54058.53,0.3449,55,982.88,29.0,0.4081,0.51,102658.82,1
Mumbai,Medical,93304.18,20369.15,0.2183,140,145.49,11.7,0.494,0.31,72935.03,0
Mumbai,Disaster Relief,1588594.55,378759.05,0.2384,379,999.36,0.4,0.5014,0.31,1209835.5,0
Kolhapur,Disaster Relief,1908584.22,459702.21,0.2409,365,1259.46,18.6,0.4624,0.44,1448882.01,1
Mumbai,Education,43893.26,19418.72,0.4424,77,252.19,18.6,0.5277,0.31,24474.53,0
Thane,Disaster Relief,1849077.33,552777.54,0.2989,385,1435.79,4.7,0.487,0.33,1296299.79,0
Thane,Disaster Relief,535197.1,48762.81,0.0911,85,573.68,9.6,0.5088,0.33,486434.3,0
Kolhapur,Education,139330.12,54559.05,0.3916,102,534.89,4.7,0.4004,0.44,84771.06,0
Pune,Disaster Relief,1792139.22,209332.72,0.1168,367,570.39,7.0,0.4957,0.28,1582806.5,0
Latur,Education,18420.86,4852.06,0.2634,87,55.77,24.3,0.4172,0.67,13568.8,1
Osmanabad,Food & Hunger,44123.96,3379.62,0.0766,59,57.28,11.6,0.3591,0.69,40744.34,1
Nanded,Education,70563.11,23390.87,0.3315,80,292.39,16.0,0.3579,0.63,47172.24,1
Mumbai,Education,124121.7,52922.62,0.4264,142,372.69,28.3,0.4552,0.31,71199.08,0
Thane,Disaster Relief,1176345.51,231989.69,0.1972,294,789.08,5.0,0.4119,0.33,944355.81,0
Pune,Education,130208.87,60490.31,0.4646,49,1234.5,35.4,0.548,0.28,69718.56,0
Pune,Education,230966.32,95329.86,0.4127,49,1945.51,17.5,0.4769,0.28,135636.46,0
Nashik,Medical,449176.63,88446.62,0.1969,95,931.02,12.0,0.4452,0.42,360730.01,0
Kolhapur,Education,122441.06,38047.94,0.3107,94,404.77,20.1,0.397,0.44,84393.12,0
Thane,Food & Hunger,16690.88,5173.01,0.3099,23,224.91,19.9,0.3994,0.33,11517.88,0
Pune,Education,103262.14,43504.21,0.4213,38,1144.85,14.9,0.5029,0.28,59757.93,0
Pune,Food & Hunger,39422.94,6669.22,0.1692,85,78.46,9.1,0.4069,0.28,32753.72,0
Nanded,Medical,126023.68,21668.76,0.1719,40,541.72,20.6,0.4216,0.63,104354.92,1
Mumbai,Medical,31802.34,6520.05,0.205,11,592.73,7.1,0.3482,0.31,25282.29,0
Thane,Disaster Relief,310706.53,71249.74,0.2293,468,152.24,6.1,0.539,0.33,239456.78,0
Pune,Medical,191745.61,75085.61,0.3916,179,419.47,15.0,0.4448,0.28,116660.0,0
Mumbai,Education,295139.86,78556.01,0.2662,99,793.5,24.0,0.4513,0.31,216583.85,1
Latur,Education,226147.74,94273.26,0.4169,48,1964.03,29.7,0.3171,0.67,131874.48,1
Pune,Food & Hunger,53382.94,25286.73,0.4737,11,2298.79,11.5,0.3935,0.28,28096.21,0
Pune,Food & Hunger,191249.59,54668.12,0.2858,82,666.68,21.8,0.5198,0.28,136581.47,1
Akola,Food & Hunger,135655.11,3542.95,0.0261,9,393.66,23.0,0.3739,0.56,132112.16,1
Nashik,Food & Hunger,98706.84,25312.98,0.2564,87,290.95,0.4,0.4667,0.42,73393.86,0
Nashik,Disaster Relief,1409474.2,246470.06,0.1749,59,4177.46,17.1,0.4884,0.42,1163004.13,1
Nashik,Food & Hunger,148106.61,27681.23,0.1869,23,1203.53,21.0,0.3893,0.42,120425.38,1
Nanded,Disaster Relief,644561.09,6445.61,0.01,112,57.55,20.8,0.3119,0.63,638115.48,1
Nagpur,Disaster Relief,68609.54,12507.86,0.1823,413,30.29,11.0,0.4471,0.38,56101.68,0
Mumbai,Education,146201.28,55502.44,0.3796,109,509.2,16.5,0.4505,0.31,90698.85,0
Mumbai,Medical,86390.19,25738.16,0.2979,168,153.2,4.1,0.3858,0.31,60652.03,0
Mumbai,Food & Hunger,179727.85,40698.56,0.2264,54,753.68,0.6,0.6079,0.31,139029.3,0
Jalgaon,Medical,633522.16,195319.64,0.3083,15,13021.31,19.5,0.4526,0.49,438202.52,1
Nagpur,Disaster Relief,600973.02,124659.05,0.2074,153,814.77,17.3,0.4167,0.38,476313.97,1
Mumbai,Disaster Relief,747621.79,278025.08,0.3719,208,1336.66,12.4,0.436,0.31,469596.71,0
Thane,Disaster Relief,1899320.63,221928.03,0.1168,63,3522.67,12.3,0.4692,0.33,1677392.6,0
Nagpur,Food & Hunger,152252.71,39811.97,0.2615,114,349.23,13.8,0.4704,0.38,112440.74,0
Mumbai,Medical,686320.82,206835.0,0.3014,92,2248.21,3.3,0.502,0.31,479485.82,0
Solapur,Education,40809.45,9491.31,0.2326,129,73.58,24.6,0.3889,0.55,31318.14,1
Pune,Food & Hunger,55275.04,5528.06,0.1,30,184.27,0.3,0.4896,0.28,49746.97,1
Aurangabad,Food & Hunger,107443.95,27265.76,0.2538,105,259.67,30.7,0.3806,0.51,80178.19,1
Aurangabad,Food & Hunger,27565.41,1357.8,0.0493,57,23.82,28.3,0.3817,0.51,26207.61,1
Osmanabad,Disaster Relief,1123184.99,259110.22,0.2307,421,615.46,26.9,0.3601,0.69,864074.77,1
Mumbai,Disaster Relief,583275.3,116509.69,0.1998,373,312.36,1.7,0.4149,0.31,466765.61,0
Nashik,Medical,576149.07,232639.66,0.4038,96,2423.33,18.2,0.4921,0.42,343509.4,0
Mumbai,Disaster Relief,1234282.61,337407.47,0.2734,62,5442.06,10.6,0.4853,0.31,896875.14,0
Kolhapur,Education,127694.21,53724.86,0.4207,68,790.07,22.8,0.4437,0.44,73969.34,0
Mumbai,Medical,179297.4,55991.61,0.3123,65,861.41,20.8,0.5853,0.31,123305.79,0
Pune,Medical,235135.25,94512.96,0.402,6,15752.16,20.9,0.4309,0.28,140622.29,0
Latur,Disaster Relief,1610268.29,135768.4,0.0843,135,1005.69,23.5,0.3088,0.67,1474499.89,1
Nashik,Food & Hunger,27382.63,3409.71,0.1245,31,109.99,21.6,0.397,0.42,23972.91,0
Latur,Education,101666.97,31383.05,0.3087,123,255.15,21.4,0.2426,0.67,70283.92,1
Solapur,Disaster Relief,152520.08,21790.66,0.1429,275,79.24,14.1,0.2665,0.55,130729.42,1
Thane,Disaster Relief,975148.08,140476.27,0.1441,180,780.42,22.4,0.4776,0.33,834671.82,1
Aurangabad,Education,141718.88,44242.56,0.3122,51,867.5,16.7,0.3735,0.51,97476.32,1
Nashik,Disaster Relief,1859104.18,361161.28,0.1943,436,828.35,12.8,0.4479,0.42,1497942.9,0
Amravati,Education,194095.98,47644.29,0.2455,79,603.09,21.8,0.329,0.58,146451.69,1
Pune,Education,197104.46,94313.1,0.4785,21,4491.1,0.5,0.4607,0.28,102791.36,0
Mumbai,Food & Hunger,199819.4,46661.74,0.2335,72,648.08,12.7,0.6306,0.31,153157.66,0
Pune,Medical,528405.91,116695.6,0.2208,156,748.05,16.8,0.5434,0.28,411710.3,1
Mumbai,Disaster Relief,478730.81,143389.41,0.2995,84,1707.02,13.3,0.5344,0.31,335341.41,0
Nagpur,Food & Hunger,31375.59,6118.53,0.195,89,68.75,23.1,0.3801,0.38,25257.06,0
Wardha,Disaster Relief,1588737.42,359962.46,0.2266,499,721.37,33.0,0.257,0.64,1228774.96,0
Mumbai,Disaster Relief,1310304.37,185803.25,0.1418,330,563.04,17.1,0.4324,0.31,1124501.12,1
Akola,Education,182684.22,51672.0,0.2828,18,2870.67,20.9,0.4362,0.56,131012.22,1
Nagpur,Education,279638.33,110585.41,0.3955,99,1117.02,18.5,0.3505,0.38,169052.92,0
Osmanabad,Medical,785309.77,201914.87,0.2571,136,1484.67,29.9,0.2707,0.69,583394.89,1
Pune,Disaster Relief,1328244.45,433260.1,0.3262,39,11109.23,21.4,0.5012,0.28,894984.34,0
Nagpur,Disaster Relief,1013259.34,232256.94,0.2292,260,893.3,21.3,0.3942,0.38,781002.4,1
Pune,Medical,451692.24,160470.7,0.3553,38,4222.91,17.8,0.522,0.28,291221.55,1
Nanded,Disaster Relief,1282166.31,383566.58,0.2992,348,1102.2,30.5,0.3895,0.63,898599.73,1
Mumbai,Medical,69176.85,27658.48,0.3998,107,258.49,15.1,0.4463,0.31,41518.37,0
Pune,Medical,245145.25,50867.16,0.2075,151,336.87,10.2,0.5371,0.28,194278.09,0
Solapur,Medical,122735.36,39340.49,0.3205,27,1457.06,28.3,0.4009,0.55,83394.87,1
Aurangabad,Food & Hunger,75227.18,19148.51,0.2545,42,455.92,7.1,0.4494,0.51,56078.67,0
Nashik,Food & Hunger,64365.66,16496.66,0.2563,78,211.5,19.2,0.428,0.42,47869.0,1
Thane,Disaster Relief,1588407.7,257248.62,0.162,318,808.96,20.4,0.4668,0.33,1331159.08,0
Akola,Food & Hunger,105117.71,11071.59,0.1053,109,101.57,25.0,0.3281,0.56,94046.12,1
Mumbai,Medical,296852.66,96173.44,0.324,164,586.42,24.5,0.4681,0.31,200679.22,0
Latur,Medical,105193.17,29684.4,0.2822,119,249.45,24.7,0.3565,0.67,75508.78,1
Aurangabad,Medical,388521.3,121513.7,0.3128,95,1279.09,5.6,0.347,0.51,267007.61,0
Nagpur,Medical,177816.81,53460.48,0.3006,22,2430.02,12.5,0.5017,0.38,124356.33,0
Nashik,Medical,194184.91,61329.48,0.3158,29,2114.81,4.6,0.3395,0.42,132855.43,0
Mumbai,Education,294287.3,95839.65,0.3257,147,651.97,5.6,0.5157,0.31,198447.65,0
Mumbai,Disaster Relief,1721339.03,359575.69,0.2089,254,1415.65,24.8,0.4317,0.31,1361763.35,1
Dhule,Medical,702926.33,153906.46,0.219,134,1148.56,22.5,0.3531,0.61,549019.87,1
Akola,Medical,150984.93,17996.77,0.1192,143,125.85,13.1,0.3176,0.56,132988.16,1
Mumbai,Disaster Relief,508311.03,157635.93,0.3101,333,473.38,27.3,0.3956,0.31,350675.11,0
Mumbai,Education,275092.43,147028.14,0.5345,43,3419.26,7.6,0.4809,0.31,128064.3,0
Yavatmal,Medical,772373.76,115813.83,0.1499,33,3509.51,21.8,0.297,0.72,656559.93,1
Amravati,Medical,227012.78,45847.13,0.202,78,587.78,15.9,0.461,0.58,181165.65,1
Mumbai,Disaster Relief,598880.74,141560.26,0.2364,53,2670.95,20.1,0.4828,0.31,457320.48,1
Nanded,Education,33007.18,9287.18,0.2814,60,154.79,24.2,0.348,0.63,23720.0,1
Thane,Disaster Relief,1992637.76,697654.34,0.3501,247,2824.51,12.7,0.5326,0.33,1294983.43,0
Thane,Education,246878.51,76486.17,0.3098,137,558.29,21.6,0.4871,0.33,170392.34,1
Aurangabad,Medical,208268.06,33921.26,0.1629,42,807.65,13.3,0.4534,0.51,174346.8,1
Mumbai,Medical,174068.43,69831.72,0.4012,65,1074.33,24.2,0.4837,0.31,104236.71,0
Nashik,Education,17127.0,6739.86,0.3935,69,97.68,14.0,0.5183,0.42,10387.13,0
Pune,Disaster Relief,796660.88,158362.06,0.1988,231,685.55,4.9,0.4945,0.28,638298.82,0
Kolhapur,Food & Hunger,137160.98,20106.53,0.1466,56,359.05,6.6,0.421,0.44,117054.44,0
Pune,Disaster Relief,1039410.04,158842.13,0.1528,159,999.01,12.1,0.5277,0.28,880567.91,0
Mumbai,Education,275730.01,141544.89,0.5133,56,2527.59,14.7,0.5072,0.31,134185.13,0
Nashik,Disaster Relief,940192.27,71816.38,0.0764,165,435.25,16.2,0.4297,0.42,868375.89,1
Akola,Education,134393.23,32841.14,0.2444,82,400.5,11.9,0.4239,0.56,101552.09,1
Mumbai,Disaster Relief,647562.56,137094.06,0.2117,486,282.09,0.5,0.4771,0.31,510468.49,1
Nagpur,Food & Hunger,83984.06,12789.91,0.1523,89,143.71,8.1,0.4813,0.38,71194.15,0
Pune,Food & Hunger,49291.56,12406.4,0.2517,16,775.4,18.6,0.4352,0.28,36885.16,0
Wardha,Disaster Relief,1659607.8,297458.07,0.1792,90,3305.09,27.7,0.3186,0.64,1362149.73,1
Mumbai,Disaster Relief,1284516.0,316104.65,0.2461,84,3763.15,20.8,0.4792,0.31,968411.35,0
Mumbai,Medical,728514.96,171149.65,0.2349,20,8557.48,9.4,0.5056,0.31,557365.32,0
Latur,Medical,754179.11,153783.59,0.2039,70,2196.91,14.8,0.3435,0.67,600395.51,1
Nashik,Medical,35861.25,9976.02,0.2782,104,95.92,19.2,0.4579,0.42,25885.23,0
Mumbai,Medical,724972.79,285992.82,0.3945,121,2363.58,18.9,0.4929,0.31,438979.96,0
Pune,Disaster Relief,1314101.06,262605.67,0.1998,102,2574.57,15.7,0.5359,0.28,1051495.39,1
Osmanabad,Food & Hunger,154881.47,1548.81,0.01,8,193.6,30.3,0.3385,0.69,153332.65,1
Mumbai,Food & Hunger,153160.37,28171.03,0.1839,20,1408.55,30.3,0.5774,0.31,124989.33,1
Nagpur,Medical,25486.33,7334.6,0.2878,83,88.37,17.0,0.4698,0.38,18151.72,0
Solapur,Medical,520381.42,124273.97,0.2388,46,2701.61,26.9,0.3992,0.55,396107.45,1
Latur,Education,27685.08,6064.21,0.219,26,233.24,10.8,0.3897,0.67,21620.87,0
Mumbai,Medical,750526.36,235500.49,0.3138,94,2505.32,14.7,0.5078,0.31,515025.87,0
Nanded,Disaster Relief,714884.8,37571.13,0.0526,46,816.76,32.5,0.4549,0.63,677313.67,1
Solapur,Disaster Relief,514757.56,121198.86,0.2354,401,302.24,4.8,0.3715,0.55,393558.7,1
Pune,Medical,107356.08,31244.73,0.291,83,376.44,17.4,0.5212,0.28,76111.35,1
Pune,Education,116619.29,38111.91,0.3268,72,529.33,12.6,0.5068,0.28,78507.39,0
Pune,Food & Hunger,62430.28,15066.7,0.2413,81,186.01,14.9,0.4847,0.28,47363.58,0
Solapur,Medical,183858.91,18704.39,0.1017,134,139.59,24.0,0.3676,0.55,165154.51,1
Solapur,Food & Hunger,45907.28,3752.79,0.0817,64,58.64,14.2,0.3566,0.55,42154.48,1
Thane,Disaster Relief,783705.69,150168.01,0.1916,463,324.34,1.2,0.4846,0.33,633537.69,0
Aurangabad,Food & Hunger,17229.34,3328.07,0.1932,28,118.86,34.3,0.383,0.51,13901.28,1
Latur,Disaster Relief,1043965.85,13003.26,0.0125,164,79.29,21.4,0.2941,0.67,1030962.59,1
Kolhapur,Education,70574.07,29799.2,0.4222,99,301.0,6.1,0.3911,0.44,40774.87,0
Nashik,Food & Hunger,78716.56,18814.43,0.239,17,1106.73,20.0,0.4516,0.42,59902.12,0
Nashik,Education,130033.38,35652.65,0.2742,111,321.2,21.7,0.533,0.42,94380.73,1
Kolhapur,Disaster Relief,315309.66,56379.89,0.1788,421,133.92,14.4,0.3827,0.44,258929.76,1
Pune,Food & Hunger,21718.17,3367.44,0.1551,70,48.11,11.5,0.4212,0.28,18350.73,0
Pune,Medical,673240.8,282084.58,0.419,94,3000.9,34.2,0.5449,0.28,391156.22,0
Mumbai,Education,221071.28,79303.36,0.3587,25,3172.13,46.7,0.4063,0.31,141767.92,1
Pune,Food & Hunger,35769.06,7883.86,0.2204,21,375.42,21.4,0.5567,0.28,27885.19,0
Akola,Disaster Relief,1295411.64,168770.44,0.1303,146,1155.96,29.6,0.2767,0.56,1126641.2,1
Aurangabad,Education,50145.77,15141.73,0.302,66,229.42,30.0,0.3629,0.51,35004.04,0
Mumbai,Disaster Relief,1153196.95,152408.0,0.1322,408,373.55,0.4,0.4514,0.31,1000788.95,0
Dhule,Education,237494.39,63055.05,0.2655,64,985.24,29.9,0.3639,0.61,174439.34,1
Mumbai,Education,292042.61,105595.23,0.3616,68,1552.87,6.3,0.5562,0.31,186447.38,0
Mumbai,Disaster Relief,1493993.57,211238.48,0.1414,383,551.54,5.2,0.4942,0.31,1282755.09,0
Solapur,Food & Hunger,115799.35,15536.69,0.1342,42,369.92,26.3,0.3669,0.55,100262.66,0
Akola,Disaster Relief,1680768.06,89899.21,0.0535,123,730.89,21.8,0.4375,0.56,1590868.85,1
Mumbai,Food & Hunger,180907.43,48784.63,0.2697,81,602.28,17.8,0.5378,0.31,132122.8,1
Kolhapur,Education,118901.43,39247.6,0.3301,128,306.62,22.1,0.4012,0.44,79653.83,0
Kolhapur,Disaster Relief,798696.67,67410.55,0.0844,69,976.96,16.8,0.3814,0.44,731286.12,1
Kolhapur,Education,286235.19,100133.8,0.3498,54,1854.33,13.0,0.4122,0.44,186101.38,0
Pune,Disaster Relief,1421239.58,343669.49,0.2418,98,3506.83,12.0,0.4965,0.28,1077570.09,1
Pune,Disaster Relief,1627158.92,757468.17,0.4655,193,3924.71,29.7,0.5025,0.28,869690.75,0
Pune,Food & Hunger,46948.07,5678.16,0.1209,14,405.58,18.3,0.5452,0.28,41269.9,0
Mumbai,Disaster Relief,208874.1,64223.83,0.3075,112,573.43,13.4,0.5043,0.31,144650.27,0
Mumbai,Medical,783662.66,164091.16,0.2094,78,2103.73,8.6,0.5493,0.31,619571.5,0
Aurangabad,Disaster Relief,1308213.41,140991.04,0.1078,332,424.67,17.8,0.4574,0.51,1167222.37,1
Pune,Disaster Relief,1410835.57,382647.48,0.2712,234,1635.25,9.2,0.5174,0.28,1028188.09,0
Pune,Disaster Relief,176553.6,41061.19,0.2326,243,168.98,11.9,0.408,0.28,135492.4,0
Thane,Disaster Relief,1282638.74,206181.23,0.1607,459,449.2,14.9,0.4073,0.33,1076457.5,1
Aurangabad,Medical,55548.63,15692.44,0.2825,134,117.11,22.2,0.4411,0.51,39856.19,1
Mumbai,Disaster Relief,1789514.78,413400.73,0.231,496,833.47,28.3,0.5131,0.31,1376114.05,1
Aurangabad,Food & Hunger,152530.56,20487.88,0.1343,84,243.9,3.7,0.3949,0.51,132042.68,1
Latur,Medical,450304.39,95506.95,0.2121,173,552.06,35.8,0.3469,0.67,354797.44,0
Nagpur,Medical,754034.9,351537.25,0.4662,13,27041.33,23.9,0.4285,0.38,402497.65,0
Mumbai,Education,267487.8,121748.97,0.4552,121,1006.19,21.2,0.5036,0.31,145738.84,0
Pune,Food & Hunger,92853.39,22441.04,0.2417,23,975.7,18.3,0.4102,0.28,70412.35,0
Dhule,Food & Hunger,103253.96,15615.51,0.1512,81,192.78,17.8,0.3799,0.61,87638.45,1
Solapur,Education,20995.52,6084.37,0.2898,111,54.81,22.2,0.3588,0.55,14911.15,1
Osmanabad,Food & Hunger,91887.7,15167.66,0.1651,10,1516.77,13.3,0.4506,0.69,76720.04,1
Solapur,Disaster Relief,130110.61,16696.87,0.1283,186,89.77,28.6,0.3239,0.55,113413.74,1
Pune,Food & Hunger,143441.75,33907.45,0.2364,35,968.78,21.2,0.4746,0.28,109534.3,1
Nashik,Disaster Relief,1853084.29,118480.15,0.0639,268,442.09,18.2,0.3808,0.42,1734604.14,1
Thane,Education,117539.98,49352.66,0.4199,25,1974.11,14.3,0.4651,0.33,68187.32,0
Mumbai,Medical,492939.39,91549.04,0.1857,57,1606.12,3.3,0.4542,0.31,401390.34,0
Mumbai,Food & Hunger,88152.76,23130.09,0.2624,115,201.13,5.0,0.4855,0.31,65022.67,0
Mumbai,Disaster Relief,1624870.45,372751.55,0.2294,390,955.77,11.6,0.4829,0.31,1252118.89,0
Nanded,Disaster Relief,227209.25,28910.02,0.1272,378,76.48,31.8,0.3573,0.63,198299.23,1
Aurangabad,Medical,639218.32,83066.59,0.13,37,2245.04,28.6,0.3756,0.51,556151.73,1
